t,p_state0,p_state1,p_state2,p_state3,confidence,curiosity_learned,boredom_learned,satisfaction_learned,fatigue_learned
0.0,0.250739649243597,0.2500986354239821,0.2504909566196128,0.24867075871255734,3.703651352493509e-06,0.21152537028202612,0.7725135457372834,0.6338171378606544,0.8827709607958738
0.1,0.2507333145418031,0.2500978067468881,0.25048676060966596,0.24868211810164287,3.640565239604321e-06,0.21467611656605315,0.7493137000862754,0.6533228722850901,0.8543078011759063
0.2,0.25071864963949464,0.25009590689632744,0.2504770569500238,0.24870838651415408,3.4967280083675334e-06,0.22315402443553084,0.666585826452459,0.6410384597708766,0.878349918075101
0.3,0.25070479091597625,0.2500941107081922,0.25046788630578637,0.24873321207004503,3.3634595791864896e-06,0.2278517015753302,0.6128234849163064,0.6399011772006555,0.8610244359013793
0.4,0.2506887899999249,0.2500920290483186,0.2504572938456883,0.24876188710606817,3.212763600379809e-06,0.230990821626118,0.5659214716784566,0.6391569004911382,0.802147636940625
0.5,0.2506751248170054,0.25009024812539316,0.25044824590593934,0.24878638115166216,3.086782071504146e-06,0.23517843026749893,0.5370558384281406,0.646160470253999,0.8049287907745943
0.6,0.25066173549272425,0.2500885079394621,0.2504393832328075,0.24881037333500614,2.965819738465214e-06,0.23970387997173703,0.48462197629919446,0.6388516294540187,0.7979910595611623
0.7,0.25064499236283255,0.25008632106622924,0.25042829470761624,0.24884039186332207,2.817897135298786e-06,0.24342028823013429,0.4554422059618464,0.6410669707591873,0.7704005452201792
0.8,0.2506401608778709,0.2500856977235323,0.2504250991534609,0.24884904224513588,2.7759626295420503e-06,0.24413709343751008,0.422282222086332,0.6321245581003249,0.7714209069286313
0.9,0.25066934816875525,0.2500895528710982,0.25044445253385095,0.24879664642629562,3.0346496019406644e-06,0.23707445033048627,0.33671141633553187,0.585355431625216,0.7549235598294427
1.0,0.2506809938153675,0.25009104628666773,0.2504521499264557,0.24877580997150903,3.1407944218742045e-06,0.24296545930814883,0.968500758716649,1.0,1.0
1.1,0.25062594179881953,0.2500838314745824,0.2504156771933489,0.2488745495332491,2.6541860623785496e-06,0.27856404753609293,0.5665092093797663,0.886111246376431,0.0
1.2,0.2504877924471095,0.25006575728429664,0.25032416819535763,0.24912228207323614,1.613574420966657e-06,0.34378261940404486,0.3538727001518713,0.8212252811710055,0.9387251992514685
1.3,0.2505206581342254,0.2500701775450162,0.2503460039033804,0.24906316041737794,1.8383600837168501e-06,0.3237723519771318,0.22998078522539395,0.7254191610308837,0.8223175973966802
1.4,0.2505721213375381,0.2500769942511901,0.2503801384065217,0.24897074600475014,2.2192343592797314e-06,0.29536431627178356,0.19593691329263385,0.6500549871366792,0.9526108355059048
1.5,0.2505229409995582,0.25007050998828134,0.25034753445379404,0.24905901455836643,1.8546442027700394e-06,0.3229409272972237,0.1770091839678215,0.7084120178781134,0.8485513366504874
1.6,0.2505053297204209,0.25006815343171046,0.250335840246778,0.2490906766010906,1.7318757709050558e-06,0.3197916230685882,0.2319548459554554,0.738563459006523,0.8026498247654588
1.7,0.2506198116663697,0.2500831804292412,0.25041169901219634,0.24888530889219262,2.6034302837985024e-06,0.2551810894343142,0.20228749029565096,0.5968886052060868,0.8365561801388576
1.8,0.25070795831102305,0.25009473297682394,0.2504700976543045,0.24872721105784845,3.3951080485872254e-06,0.21901764682853078,0.15981445729234706,0.5049708615475529,0.9204056369684012
1.9,0.25070360503548206,0.2500941411832225,0.2504672019190767,0.24873505186221884,3.3534023060610707e-06,0.2371351685521477,0.17555288091447233,0.5519559283639861,0.8611987744693421
2.0,0.25080589092243977,0.2501072603160108,0.25053481145433587,0.24855203730721354,4.395522561928544e-06,0.18430755546214964,1.0,0.9334806395133792,0.8213819835758703
2.1,0.25082007770024684,0.25010911071617553,0.2505442055655654,0.24852660601801219,4.551430805244117e-06,0.1612951350681238,0.6218211701921252,0.7120749412732447,0.06253425501305844
2.2,0.25093417120726325,0.25012402065567024,0.2506197708499003,0.24832203728716637,5.904446082172221e-06,0.1310996278486177,0.20975440414437335,0.37054165258542293,0.783464171324659
2.3,0.2508676690795407,0.25011540990941217,0.2505757694793992,0.24844115153164795,5.095067106664075e-06,0.15963742447450863,0.25745806282771067,0.43662505785972977,0.8670192209156129
2.4,0.25091518813922586,0.25012158800887924,0.2506072244652896,0.2483559993866051,5.667538398590466e-06,0.1436598056439233,0.30580357510803097,0.4250092572818793,0.8324477741466768
2.5,0.2508723222401221,0.25011602976062225,0.2505788577322694,0.24843279026698614,5.149900121126372e-06,0.1559907474124608,0.25041259010248623,0.44348294029567364,0.8475990586155085
2.6,0.2510153619013512,0.25013454596298007,0.250673497856795,0.24817659427887376,6.973674285704057e-06,0.08611930985990429,0.24316291389941028,0.29784172376467355,0.8280994766591647
2.7,0.25108124083559497,0.2501430454353443,0.25071707015748357,0.2480586435715771,7.9062829204668e-06,0.05768503825909503,0.27591687369019496,0.24601869297108278,0.8864176058860498
2.8,0.2509950184858465,0.2501318597672551,0.2506600090683776,0.2482131126785208,6.696943291251145e-06,0.10327712186561468,0.38896734821048334,0.402582753329384,0.8940454536796917
2.9,0.2511685689711968,0.25015419344218953,0.2507747639722631,0.24790247361435055,9.23154198551046e-06,0.021336313188285088,0.5419047850889724,0.27709295654736465,0.9252556093171214
3.0,0.25113425151775653,0.25014968004553856,0.25075201941625264,0.2479640490204522,8.697069365903864e-06,0.04377185789576365,0.8647629654514589,0.5953331893456097,0.9102467289150967
3.1,0.25115035172414985,0.25015177324157695,0.2507626768166559,0.24793519821761728,8.945567503082508e-06,0.03270496388508233,0.6450651402899005,0.4668574241787155,0.27930764690195614
3.2,0.25108392701714494,0.25014329298023014,0.2507187925853614,0.24805398741726353,7.944535811654774e-06,0.07581064515803372,0.29187020573697686,0.33036454800703446,0.7032130933662546
3.3,0.25104927282938716,0.25013886682324765,0.2506958968367359,0.24811596351062937,7.445874641298644e-06,0.08578457247545179,0.3052323667575328,0.34525300891659577,0.811842406629247
3.4,0.25121151910954204,0.2501597512736841,0.2508031801932555,0.2478255494235183,9.921908893262277e-06,0.0,0.2786689640266306,0.14885527666423654,0.8496627444219638
3.5,0.25108931637499327,0.2501440153103884,0.2507223718898989,0.24804429642471945,8.023891582165099e-06,0.06269737892897655,0.2794067154761745,0.29173709924086116,0.8960417179751669
3.6,0.2510500426291054,0.2501389441777325,0.2506963939759237,0.2481146192172383,7.4565675410864785e-06,0.09009681867592138,0.5096098662897965,0.42705612670852483,0.8775861706320769
3.7,0.25109045576009964,0.2501441905154011,0.25072314092540393,0.24804221279909522,8.040951534948881e-06,0.07134306551464831,0.39757163483106606,0.32408103458025267,0.8798078882530911
3.8,0.2510220077927097,0.2501353478931668,0.25067786307876244,0.2481647812353609,7.064561803882263e-06,0.09414254295180824,0.37575047598796557,0.37555153699680527,0.904405362500002
3.9,0.2510321820087667,0.250136656014888,0.25068458982678343,0.24814657214956182,7.20562989753315e-06,0.08702162072887033,0.4723674745394998,0.39628798601381604,0.8616111540123179
4.0,0.2510574830299926,0.25013981552147,0.2507012665967595,0.24810143485177782,7.561552660129145e-06,0.07258819313394509,0.8400259796152644,0.6525117161815133,0.8310831050600545
4.1,0.2510946249726767,0.25014463870340414,0.25072584934030134,0.24803488698361778,8.101530582060867e-06,0.053396292761963705,0.5278835853447027,0.464557028545546,0.20746491424997374
4.2,0.25106107208364076,0.2501403951133125,0.25070370413409065,0.24809482866895605,7.614058132654478e-06,0.08206691630157632,0.18819969239925444,0.29065949633442617,0.7792588173943439
4.3,0.2510010301287339,0.25013264359529,0.2506639896320177,0.24820233664395833,6.778040899213522e-06,0.09416266821116444,0.2993209190597534,0.36313380104905507,0.8609269223012892
4.4,0.2510352441483,0.25013705473064585,0.25068661710248485,0.24814108401856932,7.248409625737473e-06,0.08132728971474024,0.4447052403323723,0.3913964994012486,0.8342970271116306
4.5,0.2510075910695422,0.25013348963766047,0.25066832880470136,0.248190590488096,6.867016842937446e-06,0.09310107102381047,0.3520056991597308,0.3703254466734783,0.869616860442429
4.6,0.25099385043708144,0.2501317137742189,0.25065923906977206,0.24821519671892756,6.681302024524882e-06,0.09858544837138686,0.3896470582346909,0.3955045851497433,0.8581762891379207
4.7,0.2509787085717988,0.25012975888343486,0.25064922352346264,0.2482423090213036,6.4796199469308036e-06,0.10703443677687757,0.3839264205291562,0.40955610396507264,0.8577597716913147
4.8,0.2509716697691802,0.250128846398385,0.25064456567870785,0.24825491815372694,6.386885846199064e-06,0.10547810363412835,0.4016503160763648,0.41968530857016884,0.8590223645964209
4.9,0.25099758278127693,0.250132183277915,0.25066170107150665,0.2482085328693015,6.731373718871225e-06,0.09196189176552784,0.4836845405081253,0.4167169471103799,0.867697988046772
5.0,0.25099554517024686,0.2501319230447979,0.2506603548518479,0.24821217693310732,6.703977867061894e-06,0.09111088250178483,0.3985031080192181,0.39304514808842705,0.8930405840318062
5.1,0.25099451824800084,0.25013178157706484,0.2506596707354006,0.24821402943953372,6.690094826344861e-06,0.09721725872613393,0.493401395690593,0.44040228947642773,0.8579946641242137
5.2,0.2509814499995453,0.25013009553540255,0.2506510273889721,0.24823742707608,6.515744363944087e-06,0.10277854257288668,0.4472007056860914,0.4289137783969597,0.8519730709953417
5.3,0.250949507845386,0.2501259712452574,0.250629899100116,0.24829462180924058,6.099260222769409e-06,0.12090024973624104,0.40687831914350747,0.448182193021177,0.8573790678462156
5.4,0.2509119632333367,0.250121115679721,0.25060506071776445,0.24836186036917782,5.627263914398384e-06,0.14150970218385203,0.3917638244259191,0.47322234332638796,0.8436035349173793
5.5,0.25087451500441976,0.2501162743758717,0.2505802870770924,0.2484289235426161,5.175448186567344e-06,0.14778431111096635,0.32741343483134194,0.4735084872742297,0.8675054148407466
5.6,0.2508799950898962,0.25011697894755136,0.2505839102547532,0.2484191157077992,5.24035113069754e-06,0.14514211192993168,0.42430475597141304,0.49806588124312395,0.8423676952487033
5.7,0.25087263594670994,0.2501160265168889,0.2505790412918305,0.2484322962445706,5.153235040578075e-06,0.14483745738367135,0.360638512304339,0.4686269409538895,0.8520500855818632
5.8,0.250861761714503,0.2501146152649667,0.2505718445401781,0.24845177848035227,5.025814364012504e-06,0.15013974845487735,0.3678915371128347,0.48366412230558564,0.8422757337402784
5.9,0.2507535682549749,0.2501005536476419,0.2505002291841967,0.24864564891318644,3.844866370283917e-06,0.22469112765801177,0.276639737715589,0.5796678426601036,0.8208795005494566
6.0,0.25069719115708994,0.250093219864557,0.25046290847467506,0.248746680503678,3.292098941676258e-06,0.2341116154843801,0.2548482991024625,0.5883506562760769,0.8178317973270578
6.1,0.25071092515090193,0.25009502972747477,0.2504720128761038,0.24872203224551936,3.422961142085512e-06,0.21995428429608052,0.2639339025664078,0.5536405278793523,0.8084271398481798
6.2,0.2506522004911786,0.25008736292678685,0.25043312301689735,0.24882731356513715,2.8817343235010284e-06,0.2506752006963765,0.17534390885154202,0.5768417453959834,0.8025829795269872
6.3,0.2506262197750279,0.2500839658661593,0.2504159147118881,0.24887389964692477,2.6571206394043756e-06,0.2544260004756608,0.22051731052547732,0.6033899457908519,0.8026504698342225
6.4,0.25061132013201765,0.2500820159457352,0.2504060449941342,0.24890061892811294,2.5324118207992186e-06,0.258717679586888,0.23176000383777742,0.6109979867339058,0.8034393846608975
6.5,0.250625501064649,0.2500838824514292,0.25041544443612523,0.24887517204779663,2.6510992744421813e-06,0.25214254432255423,0.22465355624645356,0.5850499675890916,0.8044012611874435
6.6,0.25055944353780707,0.25007522521104736,0.25037168036435437,0.24899365088679126,2.121602359128616e-06,0.2908824223962311,0.15662570767331768,0.6259922053058494,0.7946103944055378
6.7,0.25049198963120733,0.25006636917712727,0.2503269825428635,0.2491146586488019,1.6416850628919732e-06,0.32238893786478534,0.14965468729089731,0.6780800759544193,0.7803088798134721
6.8,0.250462080114378,0.2500624525645887,0.2503071688078737,0.24916829851315966,1.4486084771725416e-06,0.32764231171561103,0.13069164761649796,0.675903863893271,0.7912351041683214
6.9,0.25045586765127054,0.25006164877108883,0.2503030586300204,0.24917942494762027,1.410062217543917e-06,0.33253104937261285,0.13336707810906048,0.6753940591900016,0.7762000629039186
7.0,0.2504533404642981,0.25006133198516184,0.25030139220401165,0.2491839353465284,1.394574487778577e-06,0.33181267567999284,0.072582455485851,0.641268292923434,0.7729116395344868
7.1,0.2504122080673596,0.25005590703471997,0.2502741226522418,0.24925776224567853,1.153476137716325e-06,0.34815259711081664,0.08129762579603693,0.6770459442048947,0.7844672626895403
7.2,0.2503949132101526,0.2500536179349389,0.25026265226098793,0.24928881659392055,1.0589031829155715e-06,0.3536210050575747,0.14470482862141434,0.7068478253680698,0.7858572564504919
7.3,0.25039003027813506,0.2500529774807833,0.2502594169506449,0.24929757529043683,1.0329560857780251e-06,0.3538332610254396,0.14694004504512573,0.6972853879817196,0.8006485325340483
7.4,0.25039913452676354,0.2500542008656947,0.2502654651418889,0.2492811994656529,1.0817047421118886e-06,0.3568722126200301,0.07262080114415542,0.6619321942555694,0.7898883666393158
7.5,0.25036809482261324,0.25005009621713997,0.2502448808291606,0.24933692813108616,9.203527110424048e-07,0.36861669604515496,0.08325839686506217,0.68333925054897,0.7908129840989224
7.6,0.2503396679318991,0.25004633505747503,0.25022602812764844,0.24938796888297735,7.840078845022802e-07,0.3791610888962779,0.09796167520550107,0.7071034948567003,0.7952240251707797
7.7,0.25032719631817224,0.25004468494969406,0.2502177569605327,0.24941036177160106,7.276392760546813e-07,0.3833391181486687,0.13197176404546354,0.7220255574339757,0.8029654652501643
7.8,0.25035706778349825,0.2500486499517207,0.2502375746246718,0.24935670764010934,8.662088269995039e-07,0.37280547176827705,0.11391333357027515,0.6795080053566376,0.8055433399591682
7.9,0.2503504281353044,0.2500477744886866,0.25023317286041985,0.24936862451558922,8.343841144675679e-07,0.3776361477129892,0.06901256735715353,0.6619108813095261,0.7965335263994974
8.0,0.2503056805365197,0.25004185253702277,0.25020349550934007,0.24944897141711758,6.353796074831664e-07,0.39856010865049063,0.08614180672035808,0.706144287670741,0.8174295751773708
8.1,0.2502804374922696,0.25003849887545193,0.2501867468193668,0.24949431681291165,5.350294478567719e-07,0.4074663661752994,0.14283372341487138,0.7386808446749046,0.8094235569209881
8.2,0.25026780116434116,0.2500368146693605,0.25017835969367835,0.2495170244726199,4.880203950952122e-07,0.40766953876585527,0.15100738726829788,0.7312854103806542,0.8019274714346972
8.3,0.25030212862046025,0.2500413909648374,0.25020114442689795,0.24945533598780437,6.207676777059135e-07,0.3965719685003022,0.07276317060704984,0.666205941800405,0.8103727471818053
8.4,0.25025918730322155,0.2500356783813993,0.2501726488315028,0.24953248548387627,4.5724372244038136e-07,0.413151781310038,0.10315645807404093,0.7061098360998299,0.8041362396484928
8.5,0.250253539598475,0.25003492543363676,0.25016890016430493,0.24954263480358327,4.3759001366883155e-07,0.4152369547435393,0.10693019631462607,0.7063372703462997,0.7835599648645278
8.6,0.2502495560247963,0.2500344118444024,0.25016626561969796,0.2495497665111034,4.240286185508424e-07,0.4177387123917148,0.10525775024635232,0.7045667906716155,0.8205437761546306
8.7,0.2502880888343588,0.2500395285399639,0.25019183059571065,0.2494805520299666,5.64571402184022e-07,0.40511525909146323,0.14417882458004883,0.6795707343411891,0.8173990804985088
8.8,0.2502612298503832,0.2500359726770422,0.25017401654179106,0.24952878093078362,4.6451250967916025e-07,0.41734887447292585,0.08637275472231878,0.6723278492451442,0.8365101193785761
8.9,0.25023218356127835,0.2500321098389997,0.25015474228133067,0.24958096431839136,3.672457365988535e-07,0.4306126620595351,0.10514826512674746,0.7000326565426813,0.8160585213880822
9.0,0.25020667361867915,0.25002872027752693,0.25013781627373005,0.2496267898300638,2.912434426960431e-07,0.43969316666275476,0.11245942812651619,0.7152491597883822,0.8270657514569002
9.1,0.2501902781236203,0.250026525280258,0.250126928751623,0.24965626784449868,2.4701364564894135e-07,0.44239193784515785,0.17472781465186418,0.7385516468521138,0.8194850892098264
9.2,0.2501965799160359,0.2500273619750702,0.250131109678714,0.24964494843018,2.6356995352916357e-07,0.43787578831437324,0.13419321368077694,0.7047136100359941,0.8016167979691382
9.3,0.25017906248697175,0.25002503337254356,0.250119486192307,0.24967641794817766,2.1887140144727368e-07,0.44426181869265463,0.13668683418486977,0.712240385025758,0.8231615246339515
9.4,0.25020068185074845,0.2500279240674304,0.2501338406348239,0.24963755344699728,2.7466866736602924e-07,0.43956753695432565,0.11316163716784622,0.6835401011801774,0.8183263922193308
9.5,0.25017614990058024,0.25002465702727705,0.25011755948173825,0.2496816335904044,2.1186011378571123e-07,0.4504788955475219,0.10497887398940657,0.6991578740907081,0.8153676617354243
9.6,0.25019179508964434,0.2500267266847189,0.25012793517065957,0.24965354305497717,2.509499656966341e-07,0.4431560101969108,0.1318710063272667,0.6904644521152545,0.7785908734200043
9.7,0.2501847918154046,0.25002578095057343,0.2501232801692745,0.24966614706474752,2.330092017110985e-07,0.43987774146629594,0.13934741769313594,0.681335136594145,0.7855645674466565
9.8,0.2502064277466955,0.25002866552401154,0.25013764106832165,0.24962726566097135,2.9051037053751116e-07,0.43224310219796835,0.1165020432369371,0.6512447491929326,0.7895601528356989
9.9,0.2502036004204811,0.25002829887563494,0.2501357700394445,0.24963233066443954,2.8265628138068877e-07,0.43628662169768717,0.0903801269169574,0.6449408649691561,0.7961740999866392
10.0,0.2501928275117299,0.2500268562896432,0.25012861605553727,0.24965170014308968,2.5363307176728966e-07,0.44068172586020743,0.11266306167172957,0.6591251462220474,0.7809858956323686
10.1,0.25025768141106247,0.25003549486621623,0.2501716586441275,0.24953516507859383,4.520031767762944e-07,0.41634428301707815,0.058884638469162906,0.5821287841439426,0.7943931999347238
10.2,0.25019960246028833,0.2500277790987422,0.2501331236053155,0.249639494835654,2.7173151184722855e-07,0.44399619086408837,0.08145615893192834,0.6488188573171204,0.839204250199218
10.3,0.25017846839572094,0.25002495648171286,0.2501190931019796,0.2496774820205865,2.1743177003319403e-07,0.453363622098452,0.16339203025525836,0.6986927964958553,0.812845917826465
10.4,0.25025290613356105,0.25003487212514747,0.250168496613635,0.2495437251276565,4.3548719996788776e-07,0.42139473198309363,0.06296234001765696,0.5853927512423448,0.8177089636882018
10.5,0.2502921039026562,0.25004009363924035,0.2501945117883108,0.2494732906697927,5.804599403358424e-07,0.4091973933766804,0.01413885715835116,0.5408119460495951,0.8336415783709833
10.6,0.25029266188902716,0.2500401718380835,0.25019488421739355,0.24947228205549582,5.826845419498738e-07,0.4130313796375002,0.021337986194092676,0.5557021953926286,0.8373665237652298
10.7,0.25023451418920134,0.2500324258142267,0.25015629204343803,0.24957676795313394,3.7464229640793434e-07,0.4338630219832526,0.09595066914011842,0.639982798078439,0.8457971520618899
10.8,0.2502548634489383,0.25003510837838516,0.25016978227670533,0.24954024589597124,4.4217359873588435e-07,0.4213899071183393,0.2063485746371498,0.6552467040564638,0.8385494722236476
10.9,0.2503134801432921,0.25004289103543076,0.250208671615219,0.24943495720605824,6.681361505167516e-07,0.3941840669758841,0.09811269189043906,0.5544027232117759,0.841201266997429
11.0,0.2503591088721937,0.25004893384747184,0.25023893565973193,0.24935302162060244,8.761616681063344e-07,0.37805376467903634,0.061096860756545114,0.5115793382429603,0.8351283075777773
11.1,0.2504974731666344,0.2500671716594838,0.2503306610353244,0.2491046941385575,1.678791233361565e-06,0.3212466133274955,0.0,0.3765065480644316,0.7937700239407187
11.2,0.25041232624982435,0.25005590308256626,0.25027419012268354,0.2492575805449258,1.1540590767467052e-06,0.35223308661334896,0.10254273823262154,0.49955226896688093,0.8381839620833594
11.3,0.2503956056284934,0.25005367888024016,0.25026309451373263,0.24928762097753385,1.0624959680960444e-06,0.35801074393714727,0.21777350362848125,0.563325437355229,0.8320219010002943
11.4,0.2504096437159804,0.25005553329885594,0.2502724029492218,0.2492624200359419,1.139064075394991e-06,0.34852983945926463,0.19741113086453604,0.5370203474938985,0.8362940359495096
11.5,0.2505035913796134,0.2500679264678344,0.2503346887676051,0.24909379338494705,1.7200118279658838e-06,0.3125329128950473,0.11661209418520112,0.4326166875657351,0.8181521530712919
11.6,0.25062321103208934,0.25008362775803583,0.25041395188075694,0.24887920932911792,2.632023683890594e-06,0.25881009629134155,0.052124349648170476,0.30896693276006065,0.8040168612505455
11.7,0.2505510390343282,0.2500741213868686,0.2503661107768768,0.24900872880192637,2.0584498604536705e-06,0.2908734849985499,0.14089091479146176,0.4292751196766132,0.8293028027499784
11.8,0.2506287423759838,0.25008431542258197,0.2504175961285047,0.24886934607292954,2.6786463522832094e-06,0.2589531150461094,0.20519314399477095,0.3938010591766641,0.8183763725442768
11.9,0.2506555881680108,0.25008783234482185,0.25043538110945707,0.24882119837771044,2.9118577653530764e-06,0.2464796752479291,0.1314647150759216,0.3475676042186758,0.8145508285127495
12.0,0.250608437665797,0.25008163411798345,0.25040413291596175,0.2489057953002578,2.5086047964473224e-06,0.26869145249154597,0.19550792229000963,0.4288724974828407,0.812390503017734
12.1,0.2506404842792861,0.25008584497905534,0.2504253702553238,0.24884830048633488,2.7793980017509767e-06,0.2546498215042539,0.17138057621368946,0.39937384180682983,0.8003670189881711
12.2,0.2506209581421927,0.25008328252586515,0.25041243204297997,0.24888332728896206,2.6127687514643227e-06,0.26248295139686517,0.1558867181767613,0.4155755469278181,0.798979477201124
12.3,0.25079231745687813,0.25010565162982845,0.25052591169949817,0.24857611921379513,4.250113196935246e-06,0.1803400383379826,0.11598029659433284,0.24216376919890756,0.7920331919401611
12.4,0.250737464638822,0.25009849142199064,0.2504895865324212,0.2486744574067661,3.6828215905782002e-06,0.20962167746614802,0.11855990086882869,0.3187642592072764,0.8158970207758484
